Year,Rank,Country name,Life evaluation (3-year average),Lower whisker,Upper whisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
2024,147,Afghanistan,1.364,1.301,1.427,0.649,0.0,0.155,0.0,0.075,0.135,0.348
2023,143,Afghanistan,1.721,1.667,1.775,0.628,0.0,0.242,0.0,0.091,0.088,0.672
2022,137,Afghanistan,1.859,1.795,1.923,0.645,0.0,0.087,0.0,0.093,0.059,0.976
2021,146,Afghanistan,2.404,2.339,2.469,0.758,0.0,0.289,0.0,0.089,0.005,1.263
2020,150,Afghanistan,2.523,2.449,2.596,0.37,0.0,0.126,0.0,0.122,0.01,1.895
2019,153,Afghanistan,2.567,2.506,2.628,0.301,0.356,0.266,0.0,0.135,0.001,1.507
2024,89,Albania,5.411,5.284,5.539,1.371,1.122,0.696,0.841,0.103,0.057,1.22
2023,87,Albania,5.304,5.168,5.44,1.438,0.924,0.638,0.69,0.138,0.049,1.428
2022,83,Albania,5.277,5.148,5.406,1.449,0.951,0.48,0.549,0.133,0.037,1.678
2021,90,Albania,5.199,5.076,5.321,1.439,0.646,0.719,0.511,0.138,0.028,1.718
2020,94,Albania,5.117,5.001,5.234,1.008,0.529,0.646,0.491,0.168,0.024,2.25
2019,105,Albania,4.883,4.773,4.993,0.907,0.83,0.846,0.462,0.171,0.025,1.641
2024,84,Algeria,5.571,5.469,5.674,1.315,1.363,0.782,0.522,0.057,0.219,1.313
2023,85,Algeria,5.364,5.251,5.476,1.324,1.191,0.568,0.247,0.091,0.2,1.743
2022,81,Algeria,5.329,5.207,5.451,1.353,1.298,0.409,0.252,0.073,0.152,1.791
2021,96,Algeria,5.122,5.03,5.215,1.363,0.97,0.643,0.146,0.106,0.15,1.744
2020,110,Algeria,4.887,4.783,4.991,0.946,0.765,0.552,0.119,0.144,0.12,2.242
2019,100,Algeria,5.005,4.918,5.092,0.944,1.143,0.745,0.084,0.119,0.129,1.841
2024,42,Argentina,6.397,6.302,6.492,1.504,1.622,0.579,0.824,0.048,0.083,1.736
